fit_id,model_name,volatility_model,p,o,q,distribution,nobs,loglikelihood,AIC,BIC,convergence_flag,convergence_success,error_message,mu,omega,alpha[1],alpha[2],alpha[3],gamma[1],beta[1],nu,eta,lambda
ARCH(1) | Normal,ARCH(1),ARCH,1,0,0,Normal,3042,-8255.223415241879,16516.446830483757,16534.507641902215,0,True,,0.18526327323842948,11.671027912730526,0.16485898905017676,,,,,,,
ARCH(1) | Student-t,ARCH(1),ARCH,1,0,0,Student-t,3042,-7807.700250961507,15623.400501923014,15647.481583814291,0,True,,0.1805059697963918,24.048080161773,1.0,,,,,2.2690509331535686,,
ARCH(1) | Skewed Student-t,ARCH(1),ARCH,1,0,0,Skewed Student-t,3042,-7807.687218262571,15625.374436525142,15655.475788889238,0,True,,0.1729577506530458,24.006629172726235,1.0,,,,,,2.2695738697656176,-0.0033120474667142296
ARCH(1) | GED,ARCH(1),ARCH,1,0,0,GED,3042,-7795.4236008843245,15598.847201768649,15622.928283659927,0,True,,0.15410291148451852,9.011491347136444,0.2655876013999881,,,,,1.0100000000321887,,
ARCH(2) | Normal,ARCH(2),ARCH,2,0,0,Normal,3042,-8231.12913286846,16470.25826573692,16494.339347628196,0,True,,0.2031168180987657,10.288161337244183,0.15587274339554738,0.1269488645112154,,,,,,
ARCH(2) | Student-t,ARCH(2),ARCH,2,0,0,Student-t,3042,-7778.157260725284,15566.314521450568,15596.415873814663,0,True,,0.16568065935830162,13.691467294460582,0.576234129061302,0.42376587093869805,,,,2.43231263424145,,
ARCH(2) | Skewed Student-t,ARCH(2),ARCH,2,0,0,Skewed Student-t,3042,-7778.144681933552,15568.289363867105,15604.41098670402,0,True,,0.15900290954088236,13.67710231036841,0.5766716586513161,0.423328341348684,,,,,2.432787580687074,-0.003261138067203996
ARCH(2) | GED,ARCH(2),ARCH,2,0,0,GED,3042,-7767.120711282325,15544.24142256465,15574.342774928746,0,True,,0.1405513330741416,7.3069086536824175,0.24576832503015253,0.1910220604334826,,,,1.0100000000401566,,
ARCH(3) | Normal,ARCH(3),ARCH,3,0,0,Normal,3042,-8208.079065160302,16426.158130320604,16456.2594826847,0,True,,0.2189958914620028,9.282712102208334,0.16090464143190608,0.09947516364456174,0.10283508537815826,,,,,
ARCH(3) | Student-t,ARCH(3),ARCH,3,0,0,Student-t,3042,-7756.579268704106,15525.158537408211,15561.280160245127,0,True,,0.17048866912442898,9.795057737625076,0.4521732582187395,0.29623119132223524,0.2515955504590253,,,2.553962272835039,,
ARCH(3) | Skewed Student-t,ARCH(3),ARCH,3,0,0,Skewed Student-t,3042,-7756.57570329016,15527.15140658032,15569.293299890054,0,True,,0.17380584778103236,9.798536152642464,0.45201951440175786,0.2962738941543761,0.2517065914438662,,,,2.553762140864165,0.0017472515006414597
ARCH(3) | GED,ARCH(3),ARCH,3,0,0,GED,3042,-7747.67817996098,15507.35635992196,15543.477982758875,0,True,,0.14822981873945285,6.276410046156725,0.247272776820332,0.1593641382363842,0.12736686791291893,,,1.0100000000090337,,
"GARCH(1,1) | Normal","GARCH(1,1)",GARCH,1,0,1,Normal,3042,-8051.160445995282,16110.320891990565,16134.401973881842,0,True,,0.18842540710834552,0.6025390221318001,0.135026195100573,,,,0.8357130847060451,,,
"GARCH(1,1) | Student-t","GARCH(1,1)",GARCH,1,0,1,Student-t,3042,-7638.871293352873,15287.742586705746,15317.843939069842,0,True,,0.14606361790586223,0.11445782128195175,0.09404337393044178,,,,0.9059566264745614,3.21508325967109,,
"GARCH(1,1) | Skewed Student-t","GARCH(1,1)",GARCH,1,0,1,Skewed Student-t,3042,-7638.861570913472,15289.723141826944,15325.84476466386,0,True,,0.1423762986802069,0.11466829499314876,0.09410798479595985,,,,0.9058920152033071,,3.2154025000576936,-0.002915414641956347
"GARCH(1,1) | GED","GARCH(1,1)",GARCH,1,0,1,GED,3042,-7639.45597350555,15288.9119470111,15319.013299375196,0,True,,0.12440021075397983,0.16967781714246924,0.10447954314924816,,,,0.886548504761061,1.0100000000090978,,
"EGARCH(1,1) | Normal","EGARCH(1,1)",EGARCH,1,1,1,Normal,3042,-8039.712679785772,16089.425359571544,16119.52671193564,0,True,,0.14156229207507826,0.20137269116770304,0.2579080996775394,,,-0.04178973487155153,0.9315631359510543,,,
"EGARCH(1,1) | Student-t","EGARCH(1,1)",EGARCH,1,1,1,Student-t,3042,-7609.198139590335,15230.39627918067,15266.517902017586,0,True,,0.1345798546140678,0.08419002847691717,0.25799371328360216,,,0.03941151189365082,0.9944296329148449,2.522878572586646,,
"EGARCH(1,1) | Skewed Student-t","EGARCH(1,1)",EGARCH,1,1,1,Skewed Student-t,3042,-7609.128208537556,15232.256417075112,15274.398310384846,0,True,,0.12390858191430842,0.08454677392674011,0.2587800640471531,,,0.03936777315989444,0.9944125600584861,,2.521276791132498,-0.007731270694005251
"EGARCH(1,1) | GED","EGARCH(1,1)",EGARCH,1,1,1,GED,3042,-7627.921539251762,15267.843078503523,15303.96470134044,0,True,,0.12249165686202232,0.07907641092800076,0.21482862764487506,,,0.00689074137648764,0.9740555943718181,1.0100000200720776,,
