fit_id,model_name,volatility_model,p,o,q,distribution,nobs,arch_lm_pvalue_lag_10,residual_skewness,residual_kurtosis,lb_std_resid_pvalue_lag_10,lb_sq_std_resid_pvalue_lag_10,lb_std_resid_pvalue_lag_20,lb_sq_std_resid_pvalue_lag_20,lb_std_resid_pvalue_lag_30,lb_sq_std_resid_pvalue_lag_30
ARCH(1) | GED,ARCH(1),ARCH,1,0,0,GED,3042,2.814443741892918e-07,-0.969803552704437,17.12394400479775,0.20166592513334386,1.3571250788272575e-07,0.38965552172657403,9.421335411859394e-06,0.27037772392042164,0.0001779611367247014
ARCH(1) | Normal,ARCH(1),ARCH,1,0,0,Normal,3042,4.7596010969358634e-08,-0.8826360904939632,14.719312406438466,0.22277032943593328,7.192892093248675e-09,0.43041022480862934,1.3734497244689847e-07,0.3279953342035713,2.35915479080663e-06
ARCH(1) | Skewed Student-t,ARCH(1),ARCH,1,0,0,Skewed Student-t,3042,7.016618044819626e-07,-1.0326052551555271,18.723095703423404,0.19307312169160934,4.665667440963588e-07,0.3575149977859894,5.0845706080613125e-05,0.2347117923513261,0.000941811200651328
ARCH(1) | Student-t,ARCH(1),ARCH,1,0,0,Student-t,3042,7.12988503848683e-07,-1.0319976468399836,18.71268029759727,0.1925406848436243,4.7353084519971843e-07,0.3564181181118944,5.1387115402001094e-05,0.2343090768197686,0.0009502464488546383
ARCH(2) | GED,ARCH(2),ARCH,2,0,0,GED,3042,0.003136656815168227,-1.3048949771750475,23.660170310705816,0.2049267125247311,0.0033972322033212904,0.4360210532988474,0.09595791568008391,0.3527847910061902,0.43152405032264785
ARCH(2) | Normal,ARCH(2),ARCH,2,0,0,Normal,3042,5.589845763940244e-05,-1.0489303972736763,17.877456810895612,0.2657568461650039,4.720792483532552e-05,0.49517229747672553,0.0017698308963546906,0.3945193261608551,0.0225249217455938
ARCH(2) | Skewed Student-t,ARCH(2),ARCH,2,0,0,Skewed Student-t,3042,0.0078105541554140305,-1.395307604449651,25.83138462012435,0.18933751519410089,0.008431761046044598,0.41075730574184555,0.18675875628996066,0.3351124526038172,0.6149410063919246
ARCH(2) | Student-t,ARCH(2),ARCH,2,0,0,Student-t,3042,0.007801433560744274,-1.3936311966008696,25.813784270723964,0.18902495200242467,0.008421617003797857,0.4099780236275355,0.18668706122256704,0.334706599707578,0.6148012833458532
ARCH(3) | GED,ARCH(3),ARCH,3,0,0,GED,3042,0.2143543387027338,-1.4748203778493623,25.193596744648787,0.2234840912759891,0.23354654545141135,0.3837102951660731,0.8145713695003203,0.3030462294454911,0.9822051335997999
ARCH(3) | Normal,ARCH(3),ARCH,3,0,0,Normal,3042,0.015331829704070193,-1.185685796618754,18.794212900537687,0.2537767475939623,0.018342003167657,0.4467184712395354,0.17823696057989705,0.33168405176161225,0.5293607504686489
ARCH(3) | Skewed Student-t,ARCH(3),ARCH,3,0,0,Skewed Student-t,3042,0.34488496988660394,-1.5344933173904383,26.605595313317107,0.22203732105092647,0.36609207567392277,0.3661572352940038,0.9145899560588775,0.298233077574814,0.9954337605887292
ARCH(3) | Student-t,ARCH(3),ARCH,3,0,0,Student-t,3042,0.3449963596879937,-1.5360325342879544,26.62877274722137,0.2221757879743837,0.3661843424341946,0.3665561115065025,0.9146408256740275,0.29846818243064765,0.9954413637007682
"EGARCH(1,1) | GED","EGARCH(1,1)",EGARCH,1,1,1,GED,3042,0.9451730036988342,-0.7852770205229566,17.62453473038867,0.0152882178787535,0.9435312364817465,0.04639068881011346,0.9938917483966259,0.10102791747532441,0.999934748583725
"EGARCH(1,1) | Normal","EGARCH(1,1)",EGARCH,1,1,1,Normal,3042,0.9383236722621718,-0.6115195653751209,12.73636757145999,0.027201779531888903,0.9383918548066731,0.09361158707462239,0.9984681899918532,0.15921354985097216,0.9999926380771813
"EGARCH(1,1) | Skewed Student-t","EGARCH(1,1)",EGARCH,1,1,1,Skewed Student-t,3042,0.6891550716470711,-0.9610507337408843,23.714513742729643,0.005585100991847636,0.6815584224086093,0.014567643844064712,0.9576957403389913,0.04395267760641088,0.9986996700723928
"EGARCH(1,1) | Student-t","EGARCH(1,1)",EGARCH,1,1,1,Student-t,3042,0.6868037835816913,-0.9510312628237323,23.63624059104077,0.005612639691392724,0.6790740427705748,0.014672137139832456,0.9569202574236244,0.04422914941127771,0.998663943294646
"GARCH(1,1) | GED","GARCH(1,1)",GARCH,1,0,1,GED,3042,0.8973139722901288,-0.6106586274678003,14.198403575969188,0.014119670703197707,0.8980401382612864,0.039570946382234184,0.9659642404789379,0.08111049368689154,0.9991528836883687
"GARCH(1,1) | Normal","GARCH(1,1)",GARCH,1,0,1,Normal,3042,0.8532264744580358,-0.7015772353084084,12.353629397908852,0.0401281198213567,0.8546839872129918,0.10862710025603967,0.9889198332645865,0.15078846174016108,0.9999103853573978
"GARCH(1,1) | Skewed Student-t","GARCH(1,1)",GARCH,1,0,1,Skewed Student-t,3042,0.9122299330997364,-0.612565616109689,15.20531931784495,0.013568241327738758,0.9120761767175062,0.03631149863630153,0.9699207948278308,0.07927651970976593,0.9991194757778582
"GARCH(1,1) | Student-t","GARCH(1,1)",GARCH,1,0,1,Student-t,3042,0.9121224595772056,-0.6111700158599095,15.197618041641917,0.013608375786672608,0.9119594268668334,0.03643562089134269,0.9698545166032977,0.07946222406082062,0.9991162602227414
